id,question,correctAnswer,answerA,answerB,answerC,answerD
104912,"Malfunctions of this organelle include Wilson's disease, Kaerns-Sayre syndrome, and Leber's hereditary optic neuropathy.",B,Apoptosis,Mitochondrion,Dopamine,Collagen
203219,This man described a game in which 14 triangles and quadrilaterals could be arranged in 536 different ways to form a square.,B,Group (mathematics),Archimedes,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
104917,Radiation from this object has recently been used to study the sun's corona and the atmosphere of Saturn's moon Titan as each transited it.,B,Hamiltonian (quantum mechanics),Crab Nebula,Transcription (genetics),Group (mathematics)
104924,This quantity is the first one examined when using the Hammond postulate.,B,Vapor pressure,Activation energy,Lattice energy,Arrhenius equation
104928,"One success of string theory, in which these are closed strings able to move between branes, is the fact that it resolves infinities that arise when combining these with the Standard Model at high energies.",C,G. E. Moore,Hamiltonian (quantum mechanics),Graviton,Group (mathematics)
203234,"It's not the small intestine, but mutations in GLEPP1 may result in the abnormal growth of vacuoles and microvilli in this organ, two hallmarks of minimal change disease.",A,Kidney,Glycogen,Alcohol,Alzheimer's disease
203239,"This scientist was close friends with a Genevan-born mathematician who developed a method of drilling holes in rubies; that man, Fatio de Duillier, was derisively nicknamed ""the ape of [this man].""",D,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel,Isaac Newton
104937,"Bidelloid rotifers are unusual in that they do not undergo this process, and in order for this process to be successful, there must be at least one recombination nodule for each bivalent.",C,Group (mathematics),Transcription (genetics),Meiosis,Hamiltonian (quantum mechanics)
104944,This law uses Boltzmann's constant when it is employed to analyze melt inclusions in geophysics.,B,Aldol reaction,Henry's law,Arrhenius equation,Adenosine triphosphate
104948,"Lawrence Morley and Walter Pitman independently confirmed observations by Vine and Matthews, scientists who formed a namesake hypothesis describing this process.",A,Seafloor spreading,Meissner effect,Davisson-Germer experiment,Cherenkov radiation
104952,"For an ideal gas, the temperature dependence of this quantity can be calculated with Sutherland's formula, and it usually appears along with the length and a factor of 8 in the denominator of Poiseuille's equation.",D,Arrhenius equation,Enthalpy,Adenosine triphosphate,Viscosity
203257,The relative motion of this object is the subject of a hypothetical violation of the strong equivalence principle called the Nordvedt effect.,B,Group (mathematics),Moon,Hamiltonian (quantum mechanics),Transcription (genetics)
104957,The Betterton-Kroll and Betts processes are industrial methods of separating bismuth from this element.,D,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Lead
104967,"The lower and left lateral portions of this organ form the uncinate process, and many of its products empty through the duct of Wirsung.",D,Group (mathematics),Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Pancreas
203273,"Joseph Grunpeck blamed Saturn and Jupiter for this disease in a pamphlet before catching it himself in the service of Emperor Maximilian, who issued an edict stating that it was a punishment for blasphemy.",D,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics),Syphilis
203274,Fossils of this period's Herrerasaurus are found in Argentina's Valley of the Moon.,D,Don Giovanni,Hamiltonian (quantum mechanics),Group (mathematics),Triassic
104975,The lowermost portion of this region has maintained its name from Keith Bullen's nomenclature; it is known as D double prime and is the likely source of the Gutenberg discontinuity.,B,Group (mathematics),Mantle (geology),Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel
104982,"Genera in this phylum include Globodera, which features the potato cyst type, and Aphelenchoides, which are the foliar type that live inside of leaves.",C,Sponge,Keratin,Nematode,Bird
104986,"Early experimental evidence for this theory included the reduction of heat capacity in vanadium, and the discovery of the isotope effect in mercury.",A,BCS theory,Don Giovanni,Hamiltonian (quantum mechanics),Group (mathematics)
104991,These compounds can be formed by alkoxy-mercuration between an alkene and an alcohol.,C,Georg Wilhelm Friedrich Hegel,Group (mathematics),Ether,Hamiltonian (quantum mechanics)
104993,"In nature, this element is prevalent in gypsum and dolomite, as well as a namesake birefringent mineral that marks the 3 on Mohs hardness scale.",A,Calcium,Group (mathematics),Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel
203301,Hydroquinone is able to stabilize radicals because it can undergo hydrogen abstraction and experience this other phenomenon.,D,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Resonance
105007,One aspect of this property was confirmed in an experiment that fired silver atoms through an inhomogeneous magnetic field.,C,Don Giovanni,Group (mathematics),Spin (physics),Hamiltonian (quantum mechanics)
105018,"In yeast cells, these structures sometimes grow black particles made of crystallized sodium phosphates called dancing bodies.",D,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics),Vacuole
105023,"A capital letter is used to denote these stabilizing agents in the Zimm-Bragg model, and high-pressure formic acid has exhibited their symmetric variety.",C,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hydrogen bond,Hamiltonian (quantum mechanics)
105026,"The Drake equation is considered an example of the problems named for this man, which use a series of calculations to extrapolate answers with minimal data.",D,Thermoelectric effect#Seebeck effect,Albert Einstein,Pauli exclusion principle,Enrico Fermi
203190,"In 2012, a circular feature was discovered on this body and nicknamed a ""Hot Cross Bun"" by NASA for the similarity of its cracks to those formed by uplift from baking.",B,Venus,Titan (moon),Crab Nebula,Triton (moon)
105040,"This infectious agents env protein exhibits variability that leads to three groups of its one variety, M, N, and O.",D,Hamiltonian (quantum mechanics),Don Giovanni,Group (mathematics),HIV
105045,The Madelung rule can generally describe the same behavior that this predicts.,A,Aufbau principle,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics)
203353,"The output of these objects is a solution to the paraxial form of the Helmholtz equation, and so can be modeled as a Gaussian beam.",A,Laser,Hamiltonian (quantum mechanics),Group (mathematics),Transcription (genetics)
105051,"Deriving this value from the second law of thermodynamics yields the value d-E over d-S, where E is energy and S is entropy.",B,Group (mathematics),Temperature,Don Giovanni,Hamiltonian (quantum mechanics)
105059,"High plains on this planet are dotted with pits like the Leviathan Patera, indicating huge flows of possibly ammonia-based lava.",B,Hamiltonian (quantum mechanics),Triton (moon),Georg Wilhelm Friedrich Hegel,Group (mathematics)
105062,Different values of this quantity for a nucleus at minimal energy is used to find the Yrast.,B,Thermoelectric effect#Seebeck effect,Angular momentum,Pauli exclusion principle,Spin (physics)
105074,"When properly optimized, the Sieve of Atkins is a modern method for finding them that is faster than the ancient Sieve of Eratosthenes.",D,Josiah Willard Gibbs,Riemann zeta function,Arrow's impossibility theorem,Prime number
203384,"One example of this phenomenon was constructed by taking the limit of the linear interpolation of the dyadic rationals, which converges uniformly.",A,Brownian motion,Thermoelectric effect#Seebeck effect,Vapor pressure,Spin (physics)
105081,"A defect in the ATP7A gene causes Menkes disease, which is an inability to metabolize this element.",C,Don Giovanni,Hamiltonian (quantum mechanics),Copper,Group (mathematics)
105086,"Until its replacement by the Furer algorithm, the Schonhage-Strassen algorithm was the asymptotically fastest way of doing this to large numbers.",C,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Multiplication,Group (mathematics)
105089,"Because it is divergence-free, the curl of its vector potential can be used in the Lorentz Force equation, where it is crossed with velocity, and they do not do any work on objects that move through them.",A,Magnetic field,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni
105100,"Routh's rule is used to calculate this property for complex bodies, where the sum of the squares of the semimajor axes is divided by an arbitrary constant.",C,Electric field,Spin (physics),Moment of inertia,Cherenkov radiation
203407,"As n goes to infinity, the binomial coefficient n choose nk tends to 2 raised to n times the binary form of this quantity for n. One form of it is bounded above in Fano's inequality.",A,Entropy,Hamiltonian (quantum mechanics),Don Giovanni,Group (mathematics)
203412,"This element was never present in the Canyon Diablo Troilite, which is why that body defines the origin for plotting the geochron.",A,Uranium,Bose-Einstein condensate,Electronegativity,Neutron
203415,"Ludwig Gross was able to inoculate this disease into neonatal mice, proving that there existed a virus for it in that organism.",D,Hamiltonian (quantum mechanics),Group (mathematics),Transcription (genetics),Leukemia
105118,This technique can be followed up by ethidium bromide staining which allows easy visualization of the resulting bands.,C,Group (mathematics),Georg Wilhelm Friedrich Hegel,Gel electrophoresis,Hamiltonian (quantum mechanics)
105123,"Seymour Benzer extensively studied the genetics of these entities, whose P1, Mu, and M13 varieties are often used as cloning vectors.",B,Don Giovanni,Bacteriophage,Group (mathematics),Hamiltonian (quantum mechanics)
105129,"This theory assumes the existence of Cladogenesis, but not anagenesis, and it rejects the idea of saltation.",A,Punctuated equilibrium,Hamiltonian (quantum mechanics),Don Giovanni,Group (mathematics)
105131,"When the Hurst parameter is not equal to one-half, it leads to the occurrence of the fractional version of this phenomenon, and Park et al proposed using Optical Serial Sectioning Microscopy to determine temperature by studying this process in nanoparticles.",B,Group (mathematics),Brownian motion,Don Giovanni,Hamiltonian (quantum mechanics)
105137,This quantity can be approximated using the Antoine equation.,C,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Vapor pressure,Group (mathematics)
105142,"Studies have connected low levels of this substance to increased lead retention in the blood, while it also may convert cholesterol into bile acids.",D,Group (mathematics),Transcription (genetics),Hamiltonian (quantum mechanics),Vitamin C
203449,David Lewis used this substance to illustrate the problem of the many.,D,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics),Water
105147,"Optimizations that can be performed by these devices include peephole optimizations that replace many instructions with one instruction, and they are also capable of loop unrolling and code motion.",B,Hamiltonian (quantum mechanics),Compiler,Group (mathematics),Georg Wilhelm Friedrich Hegel
105153,The Renyi type of this has a special case where alpha equals one which produces the Kullback-Leibler divergence and the Shannon form of it.,A,Entropy,Group (mathematics),Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel
105157,"They can sometimes be used to increase membrane permeability, while their ""pseudo"" variety usually features bond formation with a cyanide ion.",A,Halogen,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni
105163,"A set of corporate practices developed by Motorola and practiced by 3M and Raytheon, among others, is named for this, implying exceptional quality and almost no manufacturing defects.",B,Group (mathematics),Standard deviation,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel
105165,It was first observed in 1933 by its eponymous discoverers in tin and lead specimens.,A,Meissner effect,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni
203473,This element is surrounded by cyclohexyl groups in a ligand which interacts with ruthenium and gets replaced by a chelating isopropoxy ligand during the action of a Hoveyda catalyst in olefin metathesis.,B,Group (mathematics),Phosphorus,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
105177,"Along with lead and belladonna, it is used to make Aqua Tofana.",D,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics),Arsenic
105181,The alpha type of this cannot be dissolved in a 17.5% solution of sodium hydroxide at 20 degrees Celsius.,A,Cellulose,Arrow's impossibility theorem,Hamiltonian (quantum mechanics),Don Giovanni
203487,D'Alembert's principle generalizes the principle of this quantity's virtual form to dynamics.,B,Group (mathematics),Work (physics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
203502,The decomposition of spherical tensor operators acting on the eigenbasis of this operator is the usual application of the Wigner-Eckart theorem.,D,Hooke's law,Davisson-Germer experiment,Pauli exclusion principle,Angular momentum
105199,"He wrote an article entitled Report on the Mode of Detecting Vegetable Substances mixed with coffee for the Purpose of Adulteration in 1857, and his work in the field of absorption of hydrogen gas by palladium has been recently made significant by the cold fusion controversy.",D,Hamiltonian (quantum mechanics),Group (mathematics),Don Giovanni,Thomas Graham (chemist)
105202,"It mediates the quantum field of the same name, which has a constant vacuum expectation value of 246 gigaelectronvolts.",C,Pauli exclusion principle,Angular momentum,Higgs boson,Electric field
105212,"Its companion, first sighted by Alvan Clark in 1862, was the first white dwarf ever discovered, and the two rotate about each other with a period of about 50 years and a distance of about 20 astronomical units.",D,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics),Sirius
203519,A maximum independent set for this data structure can be found in linear time by adding alternating levels.,B,Group (mathematics),Tree (graph theory),Hamiltonian (quantum mechanics),Don Giovanni
105218,The most common type in humans is made up of cross-linked DHI and DHICA polymers and has two types which differ from each other in the pattern of polymer bonds.,D,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics),Melanin
203527,"After one isotope of this element is purified, the waste product is often used as a starting material for aneutronic fusion.",D,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni,Boron
105228,"There are over 367 known proofs for this, including a proof by differential equations, a proof using similar triangles, a proof by rearrangement, and Euclids proof which appeared as Proposition 47 in Book 1 of the Elements.",D,Group (mathematics),Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Pythagorean theorem
105230,"It occurs because, due to the spin-statistics theorem, electrons have half-integer spin and therefore their wavefunctions are asymmetric under exchange of particle positions.",B,Piezoelectricity,Ferromagnetism,Diamagnetism,Spin (physics)
203535,This phenomenon causes a quadratic term to appear in pulsar periods in the Shklovskii effect.,D,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Doppler effect
105233,"One of these is a homohexamer structured to have a hole in its center, and it hydrolyzes ATP which shifts the structure of what it binds to.",C,Hamiltonian (quantum mechanics),G. E. Moore,Helicase,Group (mathematics)
105236,"This element is used in lamps that produce short, intense flashes of light like stroboscopes and high-speed photography.",D,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics),Xenon
203542,"Like the scalar curvature, this quantity is multiplied by the metric tensor in Einstein's field equations.",A,Cosmological constant,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics)
203543,"The narrator of this work attempts to print out permutations of the name of God in an effort to hack a computer, only to gain access when he types in ""No"" as the password.",C,Hamiltonian (quantum mechanics),Group (mathematics),Foucault's Pendulum,Georg Wilhelm Friedrich Hegel
105244,"Most of them are pseudoscalars, and the heaviest is a vector.",A,Meson,Don Giovanni,Group (mathematics),Hamiltonian (quantum mechanics)
203551,"This is the site of phosphorylation for a molecule responsible for moving cholesterol to tissues, known as Apolipoprotein B-100.",B,Group (mathematics),Golgi apparatus,Johann Wolfgang von Goethe,Hamiltonian (quantum mechanics)
105255,"Somatic hypermutation occurs in their variable domains, and serves to increase their binding strength through affinity maturation.",B,Georg Wilhelm Friedrich Hegel,Antibody,Group (mathematics),Hamiltonian (quantum mechanics)
105257,"White blood cells from 4 anonymous donors were used, although one of them, RP11 from Buffalo, New York, was used much more than the others.",B,Hamiltonian (quantum mechanics),Human Genome Project,Georg Wilhelm Friedrich Hegel,Group (mathematics)
203569,"In Incan mythology, this group was represented by a single deity, Collca, who was regarded as the keeper of the seeds.",C,Group (mathematics),G. E. Moore,Pleiades,Hamiltonian (quantum mechanics)
105271,"The proximity fuse, developed during World War II, applies this principle to detonate automatically when the target is close enough.",B,Group (mathematics),Doppler effect,Don Giovanni,Hamiltonian (quantum mechanics)
105276,"Hippocrates wrote that it was the most widespread disease of his time, and called it phthisis.",C,Midnight's Children,Fathers and Sons (novel),Tuberculosis,Romulus and Remus
203593,This body's unique terrain may be caused by diapirs driven by density inversions in a non-water ice layer.,B,Group (mathematics),Triton (moon),Dirac delta function,Hamiltonian (quantum mechanics)
105290,"When it was first proposed, it was the ""fat"" type of three types of earth that together replaced one of the four main elements, a theory put forth in the 1669 work Subterranean Physics by Johann Becher.",D,Hamiltonian (quantum mechanics),Group (mathematics),G. E. Moore,Phlogiston theory
105294,This substances stress-strain behavior exhibits the Mullins effect and the Payne effect.,B,Group (mathematics),Natural rubber,Don Giovanni,Hamiltonian (quantum mechanics)
105300,"Nearly half of these are capable of methanogenesis, and all have their membrane lipids ether-linked.",B,Hamiltonian (quantum mechanics),Archaea,Group (mathematics),Don Giovanni
105310,"The name for this type of organic compound was first used in 1730 by F.G. Frobenius, and non-IUPAC names for some include anisole and phenetole.",D,Alcohol,Ketone,Epoxide,Ester
105311,"Most common in nidifugal birds, one form of this was discovered in the 19th century by Douglas Spalding and later rediscovered by Oskar Heinroth.",D,Group (mathematics),Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Imprinting (psychology)
105313,"Used in carburetors to draw in fuel and mix it with the air, the Venturi effect is a case of this.",B,Group (mathematics),Bernoulli's principle,Hamiltonian (quantum mechanics),Don Giovanni
105317,"During the Hellenistic period, the millefiori technique was developed, allowing people to create intricate designs in it.",B,Group (mathematics),Glass,Don Giovanni,Hamiltonian (quantum mechanics)
105318,"The most primitive members of this group are sea squirts, whose motile larval stage sports a muscular post-anal tail.",D,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics),Chordate
203625,A standard way of realizing this phenomenon with photons is through the use of spontaneous parametric down-conversion.,A,Quantum entanglement,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics)
105323,"It has been called The Helen of Geometers, because it often caused quarrels among 17th century mathematicians.",A,Cycloid,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
105330,"These cause the only known diseases that can be sporadic, genetic, or infectious.",C,Transcription (genetics),Hamiltonian (quantum mechanics),Prion,Group (mathematics)
105332,Hardins tragedy of the commons is sometimes said to be an example of a multi-player generalization of it.,B,Hamiltonian (quantum mechanics),Prisoner's dilemma,Don Giovanni,Group (mathematics)
105343,"To isolate volatile compounds from nonvolatile impurities, the steam form of this process is used when the compounds decompose at standard temperatures and pressures.",B,Group (mathematics),Distillation,Don Giovanni,Hamiltonian (quantum mechanics)
105345,"Non-Newtonian fluids are able to exhibit this property under certain conditions, but it is mostly solids that show this property.",D,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Elasticity (physics)
203651,"In a network, the steepness of the loss curve as a function of the log of this quantity is called ""roll-off"".",A,Frequency,Don Giovanni,Hamiltonian (quantum mechanics),Group (mathematics)
203653,"This man manipulated having a meeting with Paul Wentworth into getting a treaty agreed to, but was unaware that Wentworth had turned his secretary Edward Bancroft.",D,G. E. Moore,Group (mathematics),Hamiltonian (quantum mechanics),Benjamin Franklin
105352,"After a request from Antoine Gambaud [gam-BO], he began a correspondence with Fermat to establish a new field of mathematics.",C,Augustin-Louis Cauchy,Treaty of Waitangi,Blaise Pascal,Spin (physics)
105353,"An early discovery of one spurred thoughts of extraterrestrials leading to the name of this first one, LGM-1, or Little Green Men.",C,Don Giovanni,Group (mathematics),Pulsar,Hamiltonian (quantum mechanics)
105356,"In 2007, a fear arose concerning this disease when Andrew Speaker traveled throughout Europe and then returned to the U.S. while actively infected by a drug- resistant strain.",A,Tuberculosis,Phillips curve,Second law of thermodynamics,Transcription (genetics)
203664,"A device used in this technique consists of an RF ring electrode and two other hyperbolic electrodes, and is sometimes named for Wolfgang Paul.",A,Mass spectrometry,Infrared spectroscopy,Titration,Adenosine triphosphate
105367,"Over one thousand years ago, the Persian Al-Sufi noted a little cloud, but the shape of the object was not properly identified until the nineteenth century.",A,Andromeda Galaxy,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni
105368,"Working at BASF, one of its namesakes successfully commercialized it in 1910, and later received new patents and a Nobel prize as a result.",B,Polymerase chain reaction,Haber process,Davisson-Germer experiment,Arrhenius equation
105370,"This number is an eigenvalue of the matrix with top row 1 1 and bottom row 1 0, which is associated with the Fibonacci recurrence relation, meaning that this value is the limit of the ratio of adjacent terms in the Fibonacci series.",C,Georg Wilhelm Friedrich Hegel,Group (mathematics),Golden ratio,Hamiltonian (quantum mechanics)
203681,One of these compounds reacts with a carboxylic acid in the first step of the Schmidt reaction.,B,Hamiltonian (quantum mechanics),Acid,Group (mathematics),Georg Wilhelm Friedrich Hegel
203689,"A map has this property if it is a surjective continuous linear operator between Banach spaces, by the Banach-Schauder theorem.",B,Group (mathematics),Open set,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
105388,"The most common type of this reaction is the Embden-Meyerhof pathway, which is often used as a synonym for the reaction as a whole.",D,Amine,Alcohol,Ester,Glycolysis
203693,"Every finitely generated projective module of a ring of these objects is free, according to the Quillen-Suslin theorem.",D,Hamiltonian (quantum mechanics),Don Giovanni,Group (mathematics),Polynomial
105390,"While a certain famous operon codes in DNA for the production of this compound, in a variety of anaerobic respiration, special yeasts convert this disaccharide into a related acid, often the cause of muscle cramping.",D,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Group (mathematics),Lactose
105392,"At the center of active galactic nuclei, such as Quasars, the supermassive type of this phenomenon may occur.",C,Cherenkov radiation,Diamagnetism,Black hole,Zeeman effect
105393,The gamma function of one half gives the square root of this value.,D,Don Giovanni,Hamiltonian (quantum mechanics),Group (mathematics),Pi
105395,One argument for a correction to it is flawed in its assumption of a reversible path in an area of thermodynamic instability.,A,Van der Waals equation,Group (mathematics),Don Giovanni,Hamiltonian (quantum mechanics)
105402,"It is formed when a hydroxide group is added to an organic molecule, making the entire molecule polar and able to undergo hydrogen bonding.",B,Wolff-Kishner reduction,Alcohol,Henry's law,Adenosine triphosphate
203709,A gas of these non-photon things with a temperature of less than 2 kelvins is thought to permeate the universe.,C,Hamiltonian (quantum mechanics),Don Giovanni,Neutrino,Group (mathematics)
203712,"During synthesis of Sonic hedgehog, this compound is added post-translationally to the N-terminus.",A,Cholesterol,Tuberculosis,Alcohol,Niacin
105415,This quantity can be generalized to higher degree polynomials by using a Sylvester Matrix.,A,Discriminant,Hamiltonian (quantum mechanics),Group (mathematics),Johann Wolfgang von Goethe
105416,"This material holds similar properties to molybdenite, although the latter produces a green streak, while confusion with galena has led to many misnomers such as plumbago and black lead.",D,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics),Graphite
105417,"About 1 in 17,000 of all the people in the world is infected with some degree of this condition, which also frequently affects other organisms, including rats and many types of snakes and lizards.",C,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Albinism,Group (mathematics)
105418,These structures may be connate or adnate when fused together differently.,B,Hamiltonian (quantum mechanics),Stamen,Group (mathematics),Don Giovanni
105419,"The organo-arsenic compound, cacodyls, was formed by this man as the most complex radical of the sort at the time.",A,Robert Bunsen,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel
105424,"This points coordinates in two-space may be found through double integration of a density function and division of the result into corresponding moments, which factor in direction.",D,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics),Center of mass
203730,"It's not childbirth, but one god of this domain had a name mistranslated as ""placenta king,"" and displaced an older god of it named Iah.",C,Hephaestus,Dionysus,Moon,Marduk
105431,Victims of this class of diseases have a mutation in the RUNX-1 binding site which could explain why joint pain is such a common symptom.,A,Lupus nephritis,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics)
105432,"The flame test for this element is a light purple color, but it can be masked by other colors.",A,Potassium,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics)
105439,"Their name comes from the Latin for little cavity, which is appropriate because they have a radius of 0.1 millimeters.",B,Group (mathematics),Pulmonary alveolus,Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
105441,This technology was first successfully demonstrated in May 1960.,C,Georg Wilhelm Friedrich Hegel,Johann Wolfgang von Goethe,Laser,Hamiltonian (quantum mechanics)
105447,Following lines with the slope at chosen points to approximate a solution to a differential equation is known as his method.,C,Hamiltonian (quantum mechanics),Don Giovanni,Leonhard Euler,Group (mathematics)
105452,A schoolgirl named Venetia Burney suggested its name following its discovery in 1930.,B,Georg Wilhelm Friedrich Hegel,Pluto,Group (mathematics),Hamiltonian (quantum mechanics)
105454,The second refers to angular momentum; the third relates the magnetic field resulting from momentum to orientation.,B,Hamiltonian (quantum mechanics),Quantum number,Volpone,Group (mathematics)
203762,The values of the multiset of these things associated to the Frobenius automorphism on a field of prime power order are the roots of unity.,A,Eigenvalue,Hamiltonian (quantum mechanics),Angular momentum,Riemann zeta function
105460,These organic molecules are characterized by a fused carbon skeleton of one cyclopentane and three cyclohexanes.,D,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni,Steroid
105467,"For a slender rod, the value of this forces moment is the product of the square of the length of the rod and the mass divided by twelve, while a solid cylinder yields the familiar one half the product of mass and the square of the radius.",D,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni,Inertia
105477,Blood from the Splenic vein joins the mesenteric veins before flowing into this organ.,C,Hamiltonian (quantum mechanics),Transcription (genetics),Liver,Group (mathematics)
120263,A family of channel proteins that transport mostly this chemical and its derivatives are the EAATs.,D,Group (mathematics),Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Glutamic acid
105481,Plagioclase is one division of this family of mineral.,D,Hamiltonian (quantum mechanics),Clarinet,Group (mathematics),Feldspar
203797,"The column of Bertin is located in this organ, which is surrounded by a fascia named for Gerota.",B,Hamiltonian (quantum mechanics),Kidney,Group (mathematics),Georg Wilhelm Friedrich Hegel
105496,"This theory was developed in 1912 by the German meteorologist Alfred Wegener, and the findings of Eduard Suess helped support it.",C,Group (mathematics),Hamiltonian (quantum mechanics),Continental drift,Don Giovanni
105499,Multiplying the moment arm times the force of an object will only give the magnitude of this quantity.,B,Georg Wilhelm Friedrich Hegel,Torque,Hamiltonian (quantum mechanics),Group (mathematics)
105500,"The homogenous variety often consists of the reaction, the product, and this material in the liquid phase, while heterogeneous usually signifies that it is a solid and reactants and products are liquids or gases.",B,Aldol reaction,Catalysis,Henry's law,Raoult's law
105504,This British scientist proved that diamonds were composed only of carbon.,A,Humphry Davy,Georg Wilhelm Friedrich Hegel,Group (mathematics),Hamiltonian (quantum mechanics)
203811,"One mathematical object named for this man is equivalent to an uncontrolled quantum NOT gate, and is one of three such objects that perform rotations on the Bloch sphere.",A,Wolfgang Pauli,Hamiltonian (quantum mechanics),Group (mathematics),Georg Wilhelm Friedrich Hegel
203820,Christina Enroth-Cugell discovered that X-type cells in this structure have a linear receptive field but Y-type cells do not.,B,Phloem,Retina,Xylem,Mitochondrion
7214,"Swedish author Lars Gustafsson wrote a novel about the death of someone associated with these things, while in Anita Desai's Clear Light of Day, Tara abandons Bim after an encounter with them.",C,G. E. Moore,Hamiltonian (quantum mechanics),Bee,Group (mathematics)
203838,"Under a polarizing microscope, this mineral is characterized by first-order gray interference colors, low relief, and minimal twinning.",B,Triton (moon),Quartz,Cherenkov radiation,Raman scattering
203848,This man is the first namesake of a theorem whose proof uses the fact that momentum and the vector potential classically commute.,D,Group (mathematics),Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Niels Bohr
203852,These structures are implemented on x86 architectures using the SP and SS registers.,B,Don Giovanni,Stack (abstract data type),Hamiltonian (quantum mechanics),Group (mathematics)
203868,Loewner's inequality relates the area and systole of Riemannian metrics on one of these spaces.,A,Torus,Treaty of Waitangi,Talcott Parsons,George Orwell
192357,"This protein produced during cornification contains several dimers which form a single protofilament, which then form higher level protofibrils, microfibrils, and macrofibrils.",B,Hamiltonian (quantum mechanics),Keratin,Georg Wilhelm Friedrich Hegel,Group (mathematics)
206466,One variety of this process transforms current to supercurrent and has a crossed version that requires electrons of different spin to exist at each electrode.,A,Reflection (physics),Thermoelectric effect#Seebeck effect,Helmholtz free energy,Spin (physics)
203902,"In electrodynamics, the partial derivative of this quantity with respect to the four-potential gives the negative of the current density.",C,Hooke's law,Spin (physics),Lagrangian,Pauli exclusion principle
203914,"The apparent ""xeroxing"" of quantum information by these objects is avoided by observing that one part of them is a ""fast scrambler"".",C,Spin (physics),Benjamin Franklin,Black hole,Riemann zeta function
203926,The Horiuti-Polanyi mechanism governs this reaction.,B,Georg Wilhelm Friedrich Hegel,Hydrogenation,Group (mathematics),Hamiltonian (quantum mechanics)
203936,"A ""shortcut"" method for analyzing this process uses the Kirkbride equation and Gilliland correlation, and is called the FUG method.",A,Distillation,Vapor pressure,Arrhenius equation,Henry's law
